date,open,high,low,close,volume
2021-06-24,63.44,63.46,63.02,63.3,7607900
2021-06-25,63.34,64.04,63.26,63.98,9136818
2021-06-28,64.24,64.7,64.16,64.4,8367681
2021-06-29,64.2,64.56,63.16,63.36,12344175
2021-06-30,63.3,63.54,63,63.24,9538828
2021-07-01,63.36,64.14,63.1,63.92,11496656
2021-07-02,64.1,64.1,63.7,64.02,9314768
2021-07-06,64.02,64.34,63.28,64.3,9078315
2021-07-07,64.32,64.72,63.96,64.7,12099604
2021-07-08,64.34,64.92,64.26,64.52,10256500
2021-07-09,64.62,64.78,64.06,64.6,10742140
2021-07-12,64.54,64.86,64.22,64.82,8661500
2021-07-13,64.7,64.92,64.1,64.32,11246600
2021-07-14,64.34,65.16,64.04,64.88,10360014
2021-07-15,64.66,65.66,64.64,65.62,14287300
2021-07-16,65.68,66.62,65.62,66.28,16553300
2021-07-19,66,66.52,64.48,65.22,22792935
2021-07-20,65.28,66.16,65.28,65.5,16889600
2021-07-21,65.54,65.7,64.74,64.78,11228405
2021-07-22,64.84,65.18,64.66,64.88,11437761
2021-07-23,65.04,65.78,64.92,65.7,8108552
2021-07-26,65.58,65.94,65.28,65.74,8968400
2021-07-27,65.68,66.98,65.3,66.86,17143089
2021-07-28,66.84,66.96,65.86,66.34,12474100
2021-07-29,66.48,66.72,66.14,66.54,15123900
2021-07-30,66.48,67.04,65.82,65.98,12632600
2021-08-02,66.12,66.72,66.04,66.48,11782100
2021-08-03,66.58,67.18,66.28,66.86,12997273
2021-08-04,66.6,66.84,65.94,66.76,16189000
2021-08-05,66.84,67.58,66.68,67.48,15895400
2021-08-06,67.42,67.94,67.26,67.46,10000468
2021-08-09,67.5,67.68,67.06,67.44,8432664
2021-08-10,67.48,67.74,67.2,67.5,7917174
2021-08-11,67.66,68.44,67.66,68.14,9244446
2021-08-12,68.02,68.44,67.98,68.2,9460128
2021-08-13,68.34,68.76,68.2,68.68,11790722
2021-08-16,68.68,69.6,68.62,69.1,12898406
2021-08-17,68.92,69.16,68.46,69.14,11518743
2021-08-18,69.14,69.28,68.56,68.8,15705801
2021-08-19,68.82,69.64,68.74,69.06,13861522
2021-08-20,68.96,69.98,68.6,69.94,11790800
2021-08-23,69.88,69.9,68.9,69.04,10915400
2021-08-24,69,69.06,68.12,68.58,12665778
2021-08-25,68.56,68.94,68.18,68.7,8164906
2021-08-26,68.7,68.74,68.4,68.54,8315900
2021-08-27,68.62,68.84,68.4,68.52,10502540
2021-08-30,68.5,68.82,68.28,68.62,11845893
2021-08-31,68.6,68.92,68.26,68.54,11290100
2021-09-01,68.74,69.68,68.64,69.44,13333732
2021-09-02,69.6,70.06,69.52,70.06,10299702
2021-09-03,69.86,69.96,69.32,69.48,9472721
2021-09-07,69.44,69.44,68.46,68.56,13145232
2021-09-08,68.54,69.98,68.38,69.8,14588135
2021-09-09,69.58,69.82,69.36,69.42,8177517
2021-09-10,69.38,69.46,68.44,68.46,12327205
2021-09-13,69.04,69.12,68.14,68.34,13118235
2021-09-14,68.56,68.78,67.94,68.1,14051785
2021-09-15,68,68.46,67.64,68.02,9906403
2021-09-16,68,68.28,67.34,67.44,15732054
2021-09-17,67.3,67.66,66.34,66.4,12554274
2021-09-20,65.76,66.36,65.06,65.78,22839313
2021-09-21,65.98,66.42,65.56,65.6,13208800
2021-09-22,65.84,66.1,65.32,65.56,12394050
2021-09-23,65.56,66.06,65.16,65.2,9666600
2021-09-24,65.2,65.64,64.98,65.14,11830347
2021-09-27,65.04,65.7,64.28,64.38,10891700
2021-09-28,64.32,64.42,63.38,63.56,20235837
2021-09-29,63.76,64.84,63.58,64.4,15433849
2021-09-30,64.64,64.68,63.8,63.88,13572380
2021-10-01,64.28,64.4,63.66,63.88,14500638
2021-10-04,63.82,64.94,63.78,64.76,20201307
2021-10-05,64.84,65.06,64.52,64.6,13065220
2021-10-06,64.4,65.64,64.02,65.6,16576393
2021-10-07,65.72,66.24,65.18,65.26,13770128
2021-10-08,65.24,65.38,64.72,64.78,8898224
2021-10-11,64.5,64.64,63.8,63.9,12710100
2021-10-12,63.98,64.5,63.82,64.32,10498046
2021-10-13,64.34,65.12,64,65.06,13103679
2021-10-14,65.3,66,65.14,65.88,10699069
2021-10-15,65.98,66.2,65.56,65.68,14801270
2021-10-18,65.24,65.42,64.7,65.06,10351028
2021-10-19,65.56,65.96,65.38,65.88,10706827
2021-10-20,66.14,67.18,66.06,66.92,13899912
2021-10-21,66.96,67.18,66.82,66.92,8686400
2021-10-22,67.1,67.38,66.94,67.26,10699990
2021-10-25,67.16,67.38,66.8,66.96,7580258
2021-10-26,67.02,67.84,66.92,67.32,9695700
2021-10-27,67.48,67.66,66.8,66.88,11131983
2021-10-28,66.82,67.32,66.74,67.32,7721836
2021-10-29,67.3,67.56,66.58,66.92,13333570
2021-11-01,66.9,67.32,66.68,67.16,8091403
2021-11-02,67.4,67.54,66.74,67.2,9932623
2021-11-03,67.1,67.36,66.42,66.96,10496100
2021-11-04,66.86,67,65.9,66.6,16091550
2021-11-05,66.82,67.52,66.74,67.22,10792226
2021-11-08,67.3,67.32,65.9,66.22,9835117
2021-11-09,66.34,66.74,66.14,66.56,8244712
